product_id,product_type,product_maker,product_cost,buyer_age,buyer_gender,buying_frequency,buyer_satisfaction_score,buying_intent
5925,Tablets,Other Brands,1012.11,26,0,18,5,0
5966,Smart Watches,Samsung,2679.33,64,0,13,1,0
5888,Headphones,Apple,2486.69,54,0,12,4,1
5945,Smart Watches,Samsung,1975.58,19,1,4,1,0
5934,Headphones,Other Brands,1836.62,67,0,10,2,0
5894,Smartphones,Other Brands,1073.07,58,0,4,3,0
5956,Smart Watches,Sony,124.83,68,1,3,3,1
5960,Laptops,Apple,233.67,69,0,7,1,0
5948,Tablets,Samsung,1500.03,62,0,3,3,0
5948,Tablets,Samsung,1500.03,62,0,3,3,0
5961,Tablets,Apple,1191.2,68,0,11,5,1
5897,Headphones,HP,374.53,67,1,7,5,1
5876,Tablets,Samsung,2606.72,63,0,1,5,1
5895,Headphones,HP,2815.03,34,0,12,2,0
5926,Smart Watches,Sony,1283.7,21,1,4,4,1
5875,Smart Watches,Samsung,980.39,35,1,7,2,1
5961,Tablets,Apple,1191.2,68,0,11,5,1
5903,Headphones,Apple,2106.73,55,0,15,5,1
5911,Tablets,Other Brands,1440.01,50,1,1,2,1
5875,Smart Watches,Samsung,980.39,35,1,7,2,1
5937,Laptops,Apple,585.78,33,1,11,4,1
5933,Tablets,Apple,468.45,69,0,2,3,0
5894,Smartphones,Other Brands,1073.07,58,0,4,3,0
5906,Tablets,Other Brands,2633.7,42,0,2,2,0
5949,Smartphones,Other Brands,1969.65,35,0,10,1,0
5931,Laptops,Other Brands,803.59,25,0,6,5,0
5895,Headphones,HP,2815.03,34,0,12,2,0
5962,Headphones,Samsung,2487.88,57,1,17,2,1
5922,Smart Watches,Sony,364.19,33,1,17,4,1
5964,Laptops,Apple,109.29,37,1,14,4,1
5932,Tablets,Sony,2721.58,25,1,15,3,0
5915,Smart Watches,HP,2265.92,65,1,19,2,1
5965,Headphones,Samsung,2506.18,55,1,15,4,1
5933,Tablets,Apple,468.45,69,0,2,3,0
5953,Smartphones,Apple,826.6,26,0,14,5,0
5888,Headphones,Apple,2486.69,54,0,12,4,1
5935,Smart Watches,Sony,1659.25,44,1,17,5,1
5935,Smart Watches,Sony,1659.25,44,1,17,5,1
5920,Tablets,Sony,1568.82,41,1,17,3,1
5935,Smart Watches,Sony,1659.25,44,1,17,5,1
5924,Laptops,Samsung,1172.25,57,0,9,2,0
5928,Smartphones,HP,202.47,18,0,1,5,0
5937,Laptops,Apple,585.78,33,1,11,4,1
5876,Tablets,Samsung,2606.72,63,0,1,5,1
5924,Laptops,Samsung,1172.25,57,0,9,2,0
5880,Smartphones,Samsung,2330.04,26,1,5,5,1
